 moveaway(Light) moveaway(All) #; build(All,2,Left) #;-1
 attack(All,mostHealthy) train(All,20,EnemyDir) #; attack(All,mostHealthy) train(All,20,EnemyDir) #;-1
 harvest(3) build(All,2,Right) harvest(2) #; moveToUnit(All,Enemy,farthest) #;-1
 build(All,2,Up) train(Heavy,20,Up) harvest(4) attack(All,strongest) build(Barrack,2,Up) attack(All,strongest) build(Barrack,2,Up) build(All,2,Up) build(All,2,Up) #; moveaway(Light) harvest(4) attack(Worker,strongest) #;1
 moveaway(Worker) attack(Worker,weakest) #; train(Worker,20,EnemyDir) harvest(2) attack(Worker,lessHealthy) #;1
 attack(Worker,closest) #; attack(Ranged,farthest) attack(Light,weakest) #;0
 moveaway(Worker) attack(Light,random) moveToUnit(Ranged,Ally,random) train(Ranged,20,Right) #; attack(Light,closest) #;-1
 train(Worker,20,Right) moveaway(Worker) #; moveaway(Light) moveaway(All) #;-1
 moveaway(Ranged) harvest(4) #; train(Worker,20,EnemyDir) attack(All,closest) #;1
 attack(Worker,closest) #; train(Worker,20,EnemyDir) attack(All,weakest) #;1
 moveaway(Light) moveaway(All) #; attack(All,strongest) #;1
 build(All,2,Up) build(Base,2,Up) harvest(4) attack(Heavy,strongest) build(Base,2,Up) attack(Heavy,strongest) build(Base,2,Up) build(All,2,Up) build(All,2,Up) build(Base,2,Up) attack(Ranged,farthest) build(Base,2,Up) build(All,2,Up) build(All,2,Up) #; moveToUnit(All,Ally,closest) build(Base,2,Left) #;-1
 attack(Worker,mostHealthy) #; moveToUnit(Light,Enemy,strongest) attack(Worker,closest) train(Light,20,Left) harvest(4) build(Base,1,Down) harvest(4) harvest(3) #;1
 attack(Worker,closest) #; train(Heavy,20,Left) attack(All,closest) #;-1
 attack(Worker,mostHealthy) #; moveaway(Light) moveaway(All) #;0
 harvest(3) build(All,2,Right) harvest(2) #; build(Base,1,Down) attack(Heavy,farthest) train(All,20,Right) moveToUnit(Heavy,Enemy,strongest) harvest(3) train(Ranged,20,EnemyDir) attack(All,strongest) #;-1
 attack(Worker,random) train(Worker,20,Up) #; moveaway(All) build(Base,2,Right) attack(Ranged,farthest) #;0
 train(Worker,20,Right) moveaway(Worker) #; moveToUnit(Heavy,Enemy,strongest) #;-1
 moveToUnit(Light,Ally,closest) build(Barrack,2,Right) moveaway(Light) train(All,20,Down) #; moveaway(Light) harvest(4) attack(Worker,strongest) #;-1
 build(Barrack,2,Down) build(All,1,Left) moveaway(Light) harvest(1) #; attack(Ranged,farthest) attack(Light,weakest) #;-1
 train(Worker,20,EnemyDir) attack(All,weakest) #; moveToUnit(Heavy,Enemy,strongest) #;0
 moveaway(Light) harvest(4) attack(Worker,strongest) #; attack(Light,closest) #;-1
 moveToUnit(All,Enemy,farthest) #; train(Light,20,EnemyDir) moveToUnit(Ranged,Ally,random) moveaway(Ranged) #;-1
 train(Worker,20,EnemyDir) attack(All,closest) #; attack(Ranged,weakest) #;0
 moveToUnit(All,Enemy,farthest) #; moveaway(Light) moveaway(All) #;-1
 moveaway(Worker) attack(Worker,weakest) #; moveaway(Heavy) moveaway(Heavy) moveaway(All) build(All,1,Right) moveaway(Heavy) moveaway(Heavy) moveaway(Heavy) #;-1
 attack(Worker,random) train(Worker,20,Up) #; attack(Worker,strongest) #;1
 attack(Worker,closest) #; train(Worker,20,EnemyDir) attack(All,closest) #;1
 attack(All,mostHealthy) #; attack(Worker,random) train(Worker,20,Up) #;0
 attack(All,mostHealthy) train(All,20,EnemyDir) #; moveToUnit(Heavy,Enemy,weakest) harvest(2) build(Barrack,1,Up) moveaway(All) #;0
 build(Barrack,2,Down) build(All,1,Left) moveaway(Light) harvest(1) #; build(All,2,Down) attack(Heavy,weakest) build(All,2,Right) moveaway(All) harvest(3) build(All,2,Right) moveaway(All) harvest(3) moveaway(All) harvest(3) build(All,2,Down) build(All,2,Down) #;-1
 attack(Worker,random) train(Worker,20,Up) #; moveToUnit(All,Ally,closest) build(Base,2,Left) #;0
 moveToUnit(Worker,Ally,weakest) #; attack(All,mostHealthy) train(All,20,EnemyDir) #;1
 attack(All,strongest) #; train(All,20,EnemyDir) harvest(3) #;0
 moveToUnit(Light,Enemy,strongest) attack(Worker,closest) train(Light,20,Left) harvest(4) build(Base,1,Down) harvest(4) harvest(3) #; harvest(2) #;0
 attack(Heavy,closest) #; moveToUnit(All,Enemy,farthest) #;-1
 attack(Ranged,lessHealthy) harvest(2) #; attack(All,mostHealthy) train(All,20,EnemyDir) #;1
 build(Barrack,2,Down) build(All,1,Left) moveaway(Light) harvest(1) #; attack(All,mostHealthy) train(All,20,EnemyDir) #;1
 attack(All,strongest) #; attack(Worker,lessHealthy) #;1
 train(Worker,20,EnemyDir) attack(All,closest) #; train(Heavy,20,Left) attack(Heavy,farthest) moveToUnit(Worker,Ally,farthest) harvest(1) #;0
 moveToUnit(All,Ally,closest) build(Base,2,Left) #; train(Heavy,20,Left) attack(All,closest) #;1
 moveToUnit(Ranged,Ally,lessHealthy) #; moveaway(Light) moveaway(All) #;-1
 train(Light,20,Right) harvest(3) moveToUnit(Heavy,Ally,lessHealthy) attack(Light,strongest) #; attack(Worker,closest) #;1
 train(All,20,EnemyDir) harvest(3) #; moveaway(Light) harvest(4) attack(Worker,strongest) #;-1
 attack(Worker,strongest) #; attack(All,mostHealthy) train(All,20,EnemyDir) #;-1
 train(Worker,20,EnemyDir) attack(All,closest) #; moveaway(Worker) attack(Worker,weakest) #;0
 moveaway(Light) harvest(4) attack(Worker,strongest) #; moveToUnit(Worker,Enemy,weakest) moveToUnit(All,Enemy,closest) harvest(2) #;-1
 train(Worker,20,Right) moveaway(Worker) #; build(Barrack,2,Down) build(All,1,Left) moveaway(Light) harvest(1) #;-1
 attack(All,lessHealthy) #; harvest(3) build(All,2,Right) harvest(2) #;0
 moveaway(Worker) attack(Light,random) moveToUnit(Ranged,Ally,random) train(Ranged,20,Right) #; moveaway(Light) harvest(4) attack(Worker,strongest) #;-1
 harvest(3) build(All,2,Right) harvest(2) #; moveaway(All) build(Base,2,Right) attack(Ranged,farthest) #;-1
 train(Worker,20,EnemyDir) harvest(2) attack(Worker,lessHealthy) #; moveaway(Light) moveaway(All) #;0
 attack(All,mostHealthy) train(All,20,EnemyDir) #; attack(All,weakest) moveToUnit(Light,Ally,farthest) attack(Worker,random) #;-1
